Term	Parent	Cutoff	Order
Bcell	Blymphocyte	1.75	1.5
Fibroblast	None	2.75	2
Endothelial	None	2.5	3
Epithelial	None	2.5	4
Granulocyte	Myeloid	1	21
MelMelanoma	None	2	60
MemBcell	Bcell	1.5	8
Myeloid	Hematopoietic	0.1	12.5
NKcell	Hematopoietic	2	11.5
NaiBcell	Bcell	1.5	11
Neutrophil	Granulocyte	1.5	12
Plasma	Blymphocyte	1	25
CD4Tcell	Tcell	0.25	15
CD8Tcell	Tcell	1	14
Tcell	Hematopoietic	2.25	10
CD8Tcell_IL7Rmax	CD8Tcell	4	17
CD4Tcell_IL7Rmax	CD4Tcell	4	17.5
RegTcell	CD4Tcell	0.5	18
cDC1	cDC	1	19
cDC2	cDC	1	20.5
cDC	Myeloid	1	22
NClassMonocyte	Myeloid	1.5	48
pDC	Myeloid	1	23
Hematopoietic	None	0.75	79
Blymphocyte	Hematopoietic	1.5	9
CD56dimNK	NKcell	1.5	26
CD56brightNK	NKcell	1.5	27
NaiCD4Tcell	CD4Tcell	3.75	28
NaiCD8Tcell	CD8Tcell	4	29
ProlifCD8Tcell	CD8Tcell	2	30
ProlifCD4Tcell	CD4Tcell	2	31
ProlifBcell	Bcell	2	31.5
CMCD4Tcell	CD4Tcell	1.5	32
EMCD8Tcell	CD8Tcell	2	40
EMCD4Tcell	CD4Tcell	2	39
ClassMonocyte	Myeloid	1.75	22.5
Macrophage_MARCO	Macrophage	1	19.5
NKTcell	Tcell	2	50
gdTcell	Tcell	1.5	38
CytotoxCD4Tcell	CD4Tcell	3	34
CytotoxCD8Tcell	CD8Tcell	3	33
ExhCD8Tcell	CD8Tcell	2	41
cDC_CCR7	cDC	1	42
Langerhans	cDC	1	43
Macrophage_MSR1	Macrophage	1	44
Macrophage_CXCL9	Macrophage	1	45
Monocyte	Myeloid	1	85
ExhBcell	Bcell	1	47
Macrophage	Myeloid	0.4	35
Hepatocyte	None	3	51
Erythrocyte	None	1	5
AlphaPancreatic	Enteroendocrine	2	62
BetaPancreatic	Enteroendocrine	2	61
DeltaPancreatic	Enteroendocrine	1	63
PPcell	Enteroendocrine	2	60.5
PancreaticDuctal	Epithelial	0.5	65
PancreaticAcinar	Epithelial	4	58.5
EpsilonPancreatic	Enteroendocrine	1	67
PancStellate	Fibroblast	3	68
Cholangiocyte	Epithelial	2	69
TAmplifying	Epithelial	1	70
EntericGlial	Glial	1	71
Enterocyte	Epithelial	1	72
Enteroendocrine	Epithelial	1.5	50.5
Goblet	Epithelial	1	74
Paneth	Epithelial	1	75
Brush	Epithelial	3	76
Adipocyte	None	1	78
Chondrocyte	None	1	86
HematoMultipotentPC	Hematopoietic	1	80
HematoStem	None	2	20
Basophil	HematoMultipotentPC	1	82
CommonLymphoidPC	Hematopoietic	2.5	10.5
ProBcell	Blymphocyte	2.5	7
ImmaturecDC	cDC	1	84
Schwann	None	2	85
Glial	None	2	86
InnateLymphoid	Hematopoietic	1	87
HEVEndothelial	Endothelial	1	88
VesselEndothelial	Endothelial	1	89
Pericyte	Fibroblast	1.5	1.75
Myofibroblast	Fibroblast	1	91
InflamFibroblast	Fibroblast	2.5	92
InflamMonocyte	Monocyte	1	93
Neural	None	1	60.5
FollicularBcell	Bcell	1	95
GermCenterBcell	Bcell	1	96
ImmatureEnterocyte	Epithelial	2	60.6
ImmatureGoblet	Epithelial	2	60.7
EnterocytePC	Epithelial	2	60.8
EpithelialStem	Epithelial	2	100
IgAPlasma	Plasma	1.75	102
IgGPlasma	Plasma	2.5	101
IgMPlasma	Plasma	2.5	103
ILC1	InnateLymphoid	3	104
ILC3	InnateLymphoid	2	105
ActTcell	Tcell	2	106
NaiTcell	Tcell	1	107
McellGut	Epithelial	2	60.9
Mast	Myeloid	2.5	50.5
ColorectalCancer	None	2	110
T1Pneumocyte	Pneumocyte	2	111
T2Pneumocyte	Pneumocyte	2	112
Pneumocyte	Epithelial	1.5	113
Club	Pneumocyte	1.5	110.5
CiliatedEpithelial	Epithelial	3	90.5
Basal	Pneumocyte	2	114
Ionocyte	Epithelial	4	115
ProlifMonocyte	Myeloid	3	31.5
ILC2	InnateLymphoid	2	106.5
